activation values,activation function,1
activation function,back prop,1
activation function,forward propagation,1
hidden layer,activation function,1
hidden unit,activation function,1
logistic function,activation function,1
neural network,activation function,1
sigmoid function,activation function,1
activation values,back prop,1
activation values,forward propagation,1
hidden layer,activation values,1
hidden unit,activation values,1
neural network,activation values,1
boosting algorithm,adaboost,1
learning method,adaboost,1
machine learning,adaboost,1
machine learning algorithm,adaboost,1
negative example,adaboost,1
positive data,adaboost,1
training data,adaboost,1
training error,adaboost,1
weak classifier,adaboost,1
cluster,agglomerative clustering,1
clustering algorithm,agglomerative clustering,1
data set,agglomerative clustering,1
hierarchical clustering,agglomerative clustering,1
k means,agglomerative clustering,1
anomalous example,anomaly detection,1
data set,anomalous example,1
labeled data,anomalous example,1
training data,anomalous example,1
training data set,anomalous example,1
data set,anomaly detection,1
labeled data,anomaly detection,1
learning method,anomaly detection,1
learning problem,anomaly detection,1
learning system,anomaly detection,1
machine learning,anomaly detection,1
machine learning algorithm,anomaly detection,1
machine learning system,anomaly detection,1
negative example,anomaly detection,1
non-anomalous examples,anomaly detection,1
positive data,anomaly detection,1
positive training example,anomaly detection,1
supervised learning,anomaly detection,1
training data,anomaly detection,1
training data set,anomaly detection,1
unsupervised learning,anomaly detection,1
bias unit,back prop,1
classification problem,back prop,1
features,back prop,1
derivative term,back prop,1
error cost function,back prop,1
forward propagation,back prop,1
global optimum,back prop,1
gradient descent,back prop,1
hidden layer,back prop,1
hidden unit,back prop,1
hypothesis,back prop,1
input layer,back prop,1
input units,back prop,1
learning method,back prop,1
learning rate,back prop,1
linear regression,back prop,1
local minimum,back prop,1
local optima,back prop,1
logistic function,back prop,1
logistic regression,back prop,1
loss function,back prop,1
multi-class classification,back prop,1
neural network,back prop,1
back prop,neural network learning,1
matrix,back prop,1
optimization algorithms,back prop,1
output layer,back prop,1
output unit,back prop,1
parameter vector,back prop,1
partial derivative,back prop,1
squared error,back prop,1
training data,back prop,1
training data set,back prop,1
big data sets,batch gradient descent,1
derivative term,batch gradient descent,1
global minimum,batch gradient descent,1
global optimum,batch gradient descent,1
gradient descent,batch gradient descent,1
hypothesis,batch gradient descent,1
iterative algorithm,batch gradient descent,1
learning method,batch gradient descent,1
learning problem,batch gradient descent,1
batch gradient descent,learning rate,1
linear algebra,batch gradient descent,1
local optima,batch gradient descent,1
loss function,batch gradient descent,1
batch gradient descent,mini-batch gradient descent,1
batch gradient descent,mini-batch size,1
optimization algorithms,batch gradient descent,1
optimization objective,batch gradient descent,1
partial derivative,batch gradient descent,1
squared error,batch gradient descent,1
bayesian approach,bayesian inference,1
log likelihood,bayesian approach,1
maximum likelihood,bayesian approach,1
maximum likelihood estimate,bayesian approach,1
conditional distribution,bayesian inference,1
data set,bayesian inference,1
bayesian inference,gibbs sampler,1
joint model probability,bayesian inference,1
bayesian inference,latent dirichlet allocation,1
learning method,bayesian inference,1
learning problem,bayesian inference,1
machine learning,bayesian inference,1
machine learning algorithm,bayesian inference,1
maximum likelihood,bayesian inference,1
