source_id,target_id,source,target,weight
0,1,activation function,activation values,0.799693763256073
0,47,activation function,deep neural network,0.6347344517707825
0,83,activation function,hidden layer,0.629142701625824
0,84,activation function,hidden unit,0.624427080154419
0,97,activation function,input units,0.587120532989502
0,126,activation function,logistic function,0.6444112062454224
0,158,activation function,neural network,0.6387234926223755
0,159,activation function,neural network learning,0.6121402382850647
0,173,activation function,output layer,0.6337385773658752
0,174,activation function,output unit,0.6143972873687744
0,209,activation function,sigmoid function,0.7262243032455444
1,83,activation values,hidden layer,0.5961733460426331
1,84,activation values,hidden unit,0.5693262815475464
1,95,activation values,input layer,0.6202312111854553
1,97,activation values,input units,0.5708714723587036
1,126,activation values,logistic function,0.47130846977233887
1,158,activation values,neural network,0.5833467245101929
1,159,activation values,neural network learning,0.6067699193954468
1,173,activation values,output layer,0.658758282661438
1,174,activation values,output unit,0.6173060536384583
1,209,activation values,sigmoid function,0.5708116292953491
2,14,adaboost,binary classification,0.4510040283203125
2,15,adaboost,boosting algorithm,0.7498599290847778
2,43,adaboost,decision stamp,0.556609570980072
2,44,adaboost,decision tree,0.5056034326553345
2,118,adaboost,linear classifier,0.44023042917251587
2,120,adaboost,linear model,0.43763303756713867
2,127,adaboost,logistic regression,0.43978071212768555
2,133,adaboost,machine learning system,0.4418374300003052
2,187,adaboost,positive predictions,0.4327985942363739
2,241,adaboost,weak classifier,0.7024742960929871
3,22,agglomerative clustering,cluster center,0.6287795305252075
3,23,agglomerative clustering,cluster,0.7620691061019897
3,24,agglomerative clustering,clustering algorithm,0.6997983455657959
3,57,agglomerative clustering,expectation maximization,0.4598572254180908
3,85,agglomerative clustering,hierarchical clustering,0.7449049353599548
3,100,agglomerative clustering,k means,0.7066500186920166
3,101,agglomerative clustering,k nearest neighbors,0.43309104442596436
3,102,agglomerative clustering,k-means objective,0.5741375088691711
3,156,agglomerative clustering,nearest neighbors,0.43544426560401917
3,236,agglomerative clustering,unsupervised learning,0.4973028302192688
4,5,anomalous example,anomaly detection,0.78556889295578
4,23,anomalous example,cluster,0.4864828586578369
4,60,anomalous example,false negative,0.45291441679000854
4,61,anomalous example,false positives,0.4920663833618164
4,101,anomalous example,k nearest neighbors,0.4503735601902008
4,157,anomalous example,negative example,0.5816251039505005
4,160,anomalous example,non-anomalous examples,0.9013683795928955
4,186,anomalous example,positive data,0.5092126131057739
4,188,anomalous example,positive training example,0.47038355469703674
4,196,anomalous example,probability density,0.4845612645149231
5,60,anomaly detection,false negative,0.5158490538597107
5,61,anomaly detection,false positives,0.6144653558731079
5,71,anomaly detection,gaussian model,0.5250324606895447
5,88,anomaly detection,recall,0.5277103185653687
5,154,anomaly detection,multivariate gaussian model,0.5529824495315552
5,160,anomaly detection,non-anomalous examples,0.7986705899238586
5,196,anomaly detection,probability density,0.6018309593200684
5,215,anomaly detection,standard deviation,0.5216666460037231
5,236,anomaly detection,unsupervised learning,0.5358148813247681
6,11,back prop,bias unit,0.5517752766609192
6,47,back prop,deep neural network,0.5986300706863403
6,48,back prop,derivative term,0.5828767418861389
6,68,back prop,forward propagation,0.6669451594352722
6,78,back prop,gradient algorithm,0.5625371336936951
6,83,back prop,hidden layer,0.5770054459571838
6,139,back prop,matrix vector multiplication,0.5688244700431824
6,158,back prop,neural network,0.587295651435852
6,159,back prop,neural network learning,0.5514421463012695
6,177,back prop,partial derivative,0.603698194026947
7,32,batch gradient descent,conjugate gradient,0.5514726638793945
7,33,batch gradient descent,convergence test,0.597079873085022
7,35,batch gradient descent,coordinate descent,0.6445239782333374
7,48,batch gradient descent,derivative term,0.5633713006973267
7,78,batch gradient descent,gradient algorithm,0.7364237904548645
7,79,batch gradient descent,gradient ascent,0.6719865798950195
7,81,batch gradient descent,gradient descent,0.7861573696136475
7,98,batch gradient descent,iterative algorithm,0.6030818819999695
7,113,batch gradient descent,learning rate,0.6262151598930359
7,144,batch gradient descent,mini-batch gradient descent,0.7821693420410156
7,145,batch gradient descent,mini-batch size,0.7012131214141846
7,167,batch gradient descent,online learning,0.5590377449989319
7,169,batch gradient descent,optimization algorithms,0.609085202217102
7,177,batch gradient descent,partial derivative,0.5109536051750183
7,217,batch gradient descent,stochastic gradient algorithm,0.7812629342079163
8,9,bayesian approach,bayesian inference,0.7867550849914551
8,29,bayesian approach,conditional distribution,0.642562210559845
8,30,bayesian approach,conditional probabilities,0.5240036249160767
8,71,bayesian approach,gaussian model,0.588323712348938
8,75,bayesian approach,gibbs sampler,0.5487615466117859
8,89,bayesian approach,hypothesis,0.5837717652320862
8,99,bayesian approach,joint model probability,0.5698150396347046
8,112,bayesian approach,learning problem,0.5624666810035706
8,175,bayesian approach,parameter estimation,0.5869656205177307
8,194,bayesian approach,prior probability,0.7696310877799988
8,195,bayesian approach,probabilistic model,0.7252071499824524
8,198,bayesian approach,random variable,0.5779429078102112
9,29,bayesian inference,conditional distribution,0.6964138150215149
9,30,bayesian inference,conditional probabilities,0.6893648505210876
9,75,bayesian inference,gibbs sampler,0.5951100587844849
9,89,bayesian inference,hypothesis,0.5959420204162598
9,99,bayesian inference,joint model probability,0.5560579895973206
9,175,bayesian inference,parameter estimation,0.5793682336807251
9,194,bayesian inference,prior probability,0.7862391471862793
9,195,bayesian inference,probabilistic model,0.6959661245346069
9,198,bayesian inference,random variable,0.5593242645263672
10,11,bias problem,bias unit,0.5897927284240723
10,12,bias problem,bias variance trade-off,0.7767321467399597
10,38,bias problem,cross validation error,0.6286046504974365
10,73,bias problem,generalization error,0.672133207321167
10,112,bias problem,learning problem,0.6659789681434631
10,192,bias problem,prediction error,0.6647874116897583
10,197,bias problem,random numbers,0.4959409832954407
10,203,bias problem,regression problem,0.6253905892372131
10,230,bias problem,training error,0.6682341694831848
10,239,bias problem,variance problem,0.7164465188980103
10,242,bias problem,overfitting,0.7056740522384644
10,243,bias problem,underfitting,0.6842381954193115
11,26,bias unit,features,0.5428402423858643
11,47,bias unit,deep neural network,0.5495446920394897
11,83,bias unit,hidden layer,0.5616836547851562
11,84,bias unit,hidden unit,0.7046970725059509
11,97,bias unit,input units,0.7478407025337219
11,158,bias unit,neural network,0.5490690469741821
11,174,bias unit,output unit,0.7109149694442749
11,176,bias unit,parameter vector,0.5730184316635132
12,38,bias variance trade-off,cross validation error,0.669102668762207
12,52,bias variance trade-off,early stopping,0.5312269926071167
12,73,bias variance trade-off,generalization error,0.7034676671028137
12,105,bias variance trade-off,l1 penalty,0.5270145535469055
12,145,bias variance trade-off,mini-batch size,0.5821086764335632
12,149,bias variance trade-off,model complexity,0.6671696901321411
12,151,bias variance trade-off,model selection,0.6806591749191284
