Mathematics,Random_graph,1
Algorithm_design,Knowledge_representation_and_reasoning,1
Natural_language,Natural_language_processing,1
Combinatorics,Algorithm,1
Unix,System_programming,1
Combinatorics,Random_graph,1
Mathematical_proof,Mathematical_induction,1
Image_processing,Computer_vision,1
Mathematics,Randomness,1
Number_theory,Computer_science,1
Data_(computing),Database,1
Graph_theory,Machine_learning,1
Programming_language,Type_system,1
Programming_language,Variable_(computer_science),1
Logic,Computer_programming,1
Operating_system,Distributed_computing,1
Computation,Monte_Carlo_method,1
Recursion,First-order_logic,1
Formal_grammar,Lexical_analysis,1
Mathematics,Algorithm,1
NP-complete,Shortest_path_problem,1
Algebra,Probability_theory,1
Computer_programming,System_programming,1
Computer,Graphical_user_interface,1
Algorithm,Profiling_(computer_programming),1
Algorithm,Complexity_class,1
Geometry,Computer_graphics,1
Computer_programming,Relational_database,1
Software_design,Software_development,1
Computational_geometry,Geometric_modeling,1
Complexity,Computational_complexity_theory,1
Data,Statistical_inference,1
Markov_chain,Martingale_(probability_theory),1
Digital_electronics,Arithmetic_logic_unit,1
Artificial_intelligence,Data_mining,1
Algorithm_design,Divide_and_conquer_algorithm,1
Computer,Unix,1
Robot,Robotics,1
Mathematics,Computer_security,1
Shared_memory,Cache_coherence,1
Finite-state_machine,Parsing,1
Authentication,Malware,1
Information_assurance,Firewall_(computing),1
Database,Relational_model,1
Computer_architecture,Compiler,1
Database,Atomicity_(database_systems),1
Computer_programming,Bioinformatics,1
Markov_chain,Machine_learning,1
Mathematics,Algebra,1
Data_structure,B-tree,1
Expected_value,PageRank,1
Computer_science,Computer_network,1
Operating_system,Concurrency_(computer_science),1
Iterative_method,Algorithm,1
Thread_(computer_science),Multi-core_processor,1
Computer_programming,Software_engineering,1
Probability_theory,Large_deviations_theory,1
Computer,Control_flow,1
Algorithm,Monte_Carlo_method,1
Interactivity,Human-computer_interaction,1
Computer_science,Programming_paradigm,1
Computer_science,Computer_programming,1
Computer_science,Computer_graphics,1
Computer_science,Computational_geometry,1
Algorithm,Geometric_modeling,1
Geometry,Computer_vision,1
Matrix_(mathematics),Geometry,1
Computer_graphics,Visualization_(computer_graphics),1
Computer_programming,Profiling_(computer_programming),1
Random_variable,Graphical_model,1
Logic,Algorithm,1
Computer_programming,String_(computer_science),1
Relational_model,Relational_database,1
Computer_programming,Query_language,1
Computational_complexity_theory,Machine_learning,1
Mathematics,Matrix_(mathematics),1
Computer_science,Theory_of_computation,1
High-level_programming_language,Object-oriented_programming,1
